province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Canada,1511,"Mail, postal and related workers",0,0,0,0,0,1,0,6
Canada,1512,Letter carriers,0,0,0,0,0,0,0,1
Canada,1513,"Couriers, messengers and door-to-door distributors",0,0,0,0,1,0,1,6
Canada,1521,Shippers and receivers,13,1,6,43,29,43,238,224
Canada,1522,Storekeepers and partspersons,6,3,1,6,18,20,29,84
Canada,1523,Production logistics co-ordinators,4,1,2,0,3,1,15,79
Canada,1524,Purchasing and inventory control workers,0,3,0,4,2,1,25,58
Canada,1525,Dispatchers,1,1,3,16,4,7,37,116
Canada,1526,Transportation route and crew schedulers,1,0,0,0,0,1,2,6
Canada,2111,Physicists and astronomers,11,8,9,5,8,10,17,11
Canada,2112,Chemists,8,17,10,15,11,20,85,60
Canada,2113,Geoscientists and oceanographers,12,8,4,3,14,10,13,5
Canada,2114,Meteorologists and climatologists,2,1,0,0,1,0,0,0
Canada,2115,Other professional occupations in physical sciences,1,0,1,1,4,0,5,3
Canada,2121,Biologists and related scientists,18,32,7,17,8,31,23,30
Canada,2122,Forestry professionals,2,0,0,0,1,0,0,0
Canada,2123,"Agricultural representatives, consultants and specialists",5,1,1,1,1,1,0,6
Canada,2131,Civil engineers,74,20,14,22,23,21,38,66
Canada,2132,Mechanical engineers,81,62,21,34,21,33,59,74
Canada,2133,Electrical and electronics engineers,77,65,28,26,21,24,48,104
Canada,2134,Chemical engineers,2,5,4,2,12,5,10,5
Canada,2141,Industrial and manufacturing engineers,11,6,9,10,13,12,30,47
Canada,2142,Metallurgical and materials engineers,6,2,1,6,2,5,10,8
Canada,2143,Mining engineers,4,1,3,1,1,1,2,6
Canada,2144,Geological engineers,6,1,1,2,0,1,7,5
Canada,2145,Petroleum engineers,21,9,0,1,1,10,14,12
Canada,2146,Aerospace engineers,32,17,9,5,7,7,7,26
Canada,2147,Computer engineers (except software engineers and designers),21,22,39,80,67,91,159,149
Canada,2148,"Other professional engineers, n.e.c.",19,8,17,14,16,9,13,14
Canada,2151,Architects,8,2,4,3,5,4,12,9
Canada,2152,Landscape architects,3,0,1,0,1,1,1,5
Canada,2153,Urban and land use planners,1,1,1,0,0,1,1,3
Canada,2154,Land surveyors,50,48,0,15,0,1,6,3
Canada,2161,"Mathematicians, statisticians and actuaries",5,10,6,15,11,14,12,13
Canada,2171,Information systems analysts and consultants,300,301,542,921,620,"1,077","2,085","1,494"
Canada,2172,Database analysts and data administrators,36,40,85,125,150,167,306,294
Canada,2173,Software engineers and designers,570,762,908,"1,142","1,176","1,305","2,297","1,028"
Canada,2174,Computer programmers and interactive media developers,381,576,902,"1,306",952,"1,523","2,663","1,515"
Canada,2175,Web designers and developers,124,158,187,320,242,300,454,490
Canada,2211,Chemical technologists and technicians,16,23,7,18,22,25,70,92
Canada,2212,Geological and mineral technologists and technicians,24,11,12,12,10,7,15,18
Canada,2221,Biological technologists and technicians,4,11,5,7,9,1,28,32
Canada,2222,Agricultural and fish products inspectors,0,1,0,0,1,0,0,3
Canada,2223,Forestry technologists and technicians,0,0,0,0,1,0,5,7
