province_territory,2016,2017,2018,2019,2020,2021,2022,2023,region_code,region_name,noc_code,occupational_skill_type
New Brunswick,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1310,Campbellton--Miramichi,1,"Business, finance and administration occupations"
New Brunswick,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1310,Campbellton--Miramichi,2,Natural and applied sciences and related occupations
New Brunswick,2.0,3.0,0.0,1.0,0.0,3.0,5.0,105.0,1310,Campbellton--Miramichi,3,Health occupations
New Brunswick,2.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,1310,Campbellton--Miramichi,4,"Occupations in education, law and social, community and government services"
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1310,Campbellton--Miramichi,5,"Occupations in art, culture, recreation and sport"
New Brunswick,6.0,5.0,4.0,11.0,9.0,27.0,54.0,82.0,1310,Campbellton--Miramichi,6,Sales and service occupations
New Brunswick,1.0,0.0,0.0,0.0,0.0,46.0,21.0,30.0,1310,Campbellton--Miramichi,7,"Trades, transport and equipment operators and related occupations"
New Brunswick,17.0,6.0,5.0,8.0,4.0,3.0,18.0,35.0,1310,Campbellton--Miramichi,8,"Natural resources, agriculture and related production occupations"
New Brunswick,41.0,50.0,165.0,177.0,231.0,603.0,1215.0,664.0,1310,Campbellton--Miramichi,9,Occupations in manufacturing and utilities
New Brunswick,2.0,1.0,0.0,1.0,5.0,5.0,11.0,5.0,1320,Moncton--Richibucto,0,Management occupations
New Brunswick,8.0,0.0,2.0,2.0,1.0,4.0,13.0,10.0,1320,Moncton--Richibucto,1,"Business, finance and administration occupations"
New Brunswick,4.0,2.0,6.0,5.0,1.0,8.0,8.0,16.0,1320,Moncton--Richibucto,2,Natural and applied sciences and related occupations
New Brunswick,3.0,7.0,2.0,3.0,9.0,15.0,17.0,87.0,1320,Moncton--Richibucto,3,Health occupations
New Brunswick,1.0,3.0,1.0,3.0,1.0,6.0,5.0,12.0,1320,Moncton--Richibucto,4,"Occupations in education, law and social, community and government services"
New Brunswick,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320,Moncton--Richibucto,5,"Occupations in art, culture, recreation and sport"
New Brunswick,36.0,42.0,41.0,56.0,60.0,77.0,169.0,215.0,1320,Moncton--Richibucto,6,Sales and service occupations
New Brunswick,11.0,15.0,16.0,12.0,38.0,122.0,330.0,264.0,1320,Moncton--Richibucto,7,"Trades, transport and equipment operators and related occupations"
New Brunswick,74.0,74.0,98.0,121.0,137.0,136.0,250.0,228.0,1320,Moncton--Richibucto,8,"Natural resources, agriculture and related production occupations"
New Brunswick,717.0,1131.0,667.0,929.0,1854.0,1201.0,3784.0,2045.0,1320,Moncton--Richibucto,9,Occupations in manufacturing and utilities
New Brunswick,3.0,2.0,3.0,0.0,4.0,6.0,10.0,18.0,1330,Saint John--St. Stephen,0,Management occupations
New Brunswick,2.0,0.0,1.0,2.0,1.0,6.0,12.0,6.0,1330,Saint John--St. Stephen,1,"Business, finance and administration occupations"
New Brunswick,12.0,7.0,8.0,7.0,2.0,3.0,8.0,14.0,1330,Saint John--St. Stephen,2,Natural and applied sciences and related occupations
New Brunswick,5.0,7.0,3.0,4.0,1.0,3.0,7.0,5.0,1330,Saint John--St. Stephen,3,Health occupations
New Brunswick,3.0,5.0,3.0,2.0,3.0,4.0,15.0,2.0,1330,Saint John--St. Stephen,4,"Occupations in education, law and social, community and government services"
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1330,Saint John--St. Stephen,5,"Occupations in art, culture, recreation and sport"
New Brunswick,14.0,6.0,1.0,17.0,22.0,35.0,108.0,117.0,1330,Saint John--St. Stephen,6,Sales and service occupations
New Brunswick,40.0,40.0,32.0,45.0,41.0,68.0,70.0,24.0,1330,Saint John--St. Stephen,7,"Trades, transport and equipment operators and related occupations"
New Brunswick,48.0,64.0,26.0,64.0,59.0,67.0,95.0,179.0,1330,Saint John--St. Stephen,8,"Natural resources, agriculture and related production occupations"
New Brunswick,7.0,45.0,0.0,0.0,40.0,22.0,94.0,59.0,1330,Saint John--St. Stephen,9,Occupations in manufacturing and utilities
New Brunswick,0.0,1.0,0.0,2.0,4.0,1.0,4.0,6.0,1340,Fredericton--Oromocto,0,Management occupations
New Brunswick,0.0,1.0,0.0,0.0,2.0,1.0,7.0,3.0,1340,Fredericton--Oromocto,1,"Business, finance and administration occupations"
New Brunswick,2.0,3.0,1.0,11.0,7.0,5.0,21.0,9.0,1340,Fredericton--Oromocto,2,Natural and applied sciences and related occupations
New Brunswick,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1340,Fredericton--Oromocto,3,Health occupations
New Brunswick,2.0,5.0,0.0,2.0,0.0,0.0,1.0,4.0,1340,Fredericton--Oromocto,4,"Occupations in education, law and social, community and government services"
New Brunswick,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1340,Fredericton--Oromocto,5,"Occupations in art, culture, recreation and sport"
New Brunswick,25.0,21.0,18.0,24.0,27.0,29.0,72.0,135.0,1340,Fredericton--Oromocto,6,Sales and service occupations
New Brunswick,1.0,1.0,2.0,0.0,3.0,2.0,14.0,9.0,1340,Fredericton--Oromocto,7,"Trades, transport and equipment operators and related occupations"
New Brunswick,4.0,6.0,8.0,84.0,29.0,145.0,90.0,84.0,1340,Fredericton--Oromocto,8,"Natural resources, agriculture and related production occupations"
New Brunswick,0.0,0.0,2.0,0.0,0.0,33.0,75.0,10.0,1340,Fredericton--Oromocto,9,Occupations in manufacturing and utilities
New Brunswick,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1350,Edmundston--Woodstock,0,Management occupations
New Brunswick,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1350,Edmundston--Woodstock,1,"Business, finance and administration occupations"
New Brunswick,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1350,Edmundston--Woodstock,2,Natural and applied sciences and related occupations
New Brunswick,1.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,1350,Edmundston--Woodstock,3,Health occupations
