Province_Region,NOC_Code,Occupation,2016,2017,2018,2019,2020,2021,2022,2023
Canada,2146,Aerospace engineers,32.0,17.0,9.0,5.0,7.0,7.0,7.0,26.0
Canada,2147,Computer engineers (except software engineers and designers),21.0,22.0,39.0,80.0,67.0,91.0,159.0,149.0
Canada,2148,"Other professional engineers, n.e.c.",19.0,8.0,17.0,14.0,16.0,9.0,13.0,14.0
Canada,2151,Architects,8.0,2.0,4.0,3.0,5.0,4.0,12.0,9.0
Canada,2152,Landscape architects,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
Canada,2153,Urban and land use planners,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Canada,2154,Land surveyors,50.0,48.0,0.0,15.0,0.0,1.0,6.0,3.0
Canada,2161,"Mathematicians, statisticians and actuaries",5.0,10.0,6.0,15.0,11.0,14.0,12.0,13.0
Canada,2171,Information systems analysts and consultants,300.0,301.0,542.0,921.0,620.0,1077.0,2085.0,1494.0
Canada,2172,Database analysts and data administrators,36.0,40.0,85.0,125.0,150.0,167.0,306.0,294.0
Canada,2173,Software engineers and designers,570.0,762.0,908.0,1142.0,1176.0,1305.0,2297.0,1028.0
Canada,2174,Computer programmers and interactive media developers,381.0,576.0,902.0,1306.0,952.0,1523.0,2663.0,1515.0
Canada,2175,Web designers and developers,124.0,158.0,187.0,320.0,242.0,300.0,454.0,490.0
Canada,2211,Chemical technologists and technicians,16.0,23.0,7.0,18.0,22.0,25.0,70.0,92.0
Canada,2212,Geological and mineral technologists and technicians,24.0,11.0,12.0,12.0,10.0,7.0,15.0,18.0
Canada,2221,Biological technologists and technicians,4.0,11.0,5.0,7.0,9.0,1.0,28.0,32.0
Canada,2222,Agricultural and fish products inspectors,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Canada,2223,Forestry technologists and technicians,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0
Canada,2224,Conservation and fishery officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2225,Landscape and horticulture technicians and specialists,100.0,113.0,76.0,118.0,67.0,129.0,239.0,330.0
Canada,2231,Civil engineering technologists and technicians,23.0,22.0,8.0,18.0,18.0,16.0,76.0,95.0
Canada,2232,Mechanical engineering technologists and technicians,350.0,197.0,148.0,168.0,104.0,103.0,247.0,212.0
Canada,2233,Industrial engineering and manufacturing technologists and technicians,52.0,78.0,41.0,64.0,57.0,70.0,89.0,116.0
Canada,2234,Construction estimators,31.0,19.0,9.0,15.0,17.0,24.0,43.0,46.0
Canada,2241,Electrical and electronics engineering technologists and technicians,226.0,144.0,70.0,83.0,58.0,45.0,184.0,214.0
Canada,2242,Electronic service technicians (household and business equipment),61.0,71.0,54.0,75.0,53.0,54.0,99.0,100.0
Canada,2243,Industrial instrument technicians and mechanics,278.0,158.0,140.0,142.0,52.0,66.0,61.0,98.0
Canada,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",9.0,10.0,2.0,6.0,3.0,4.0,2.0,6.0
Canada,2251,Architectural technologists and technicians,14.0,7.0,7.0,20.0,15.0,21.0,53.0,40.0
Canada,2252,Industrial designers,16.0,8.0,9.0,10.0,11.0,8.0,29.0,37.0
Canada,2253,Drafting technologists and technicians,54.0,64.0,40.0,70.0,69.0,40.0,144.0,143.0
Canada,2254,Land survey technologists and technicians,16.0,9.0,13.0,3.0,11.0,12.0,35.0,23.0
Canada,2255,Technical occupations in geomatics and meteorology,106.0,20.0,9.0,1.0,18.0,0.0,2.0,4.0
Canada,2261,Non-destructive testers and inspection technicians,86.0,38.0,60.0,29.0,15.0,15.0,39.0,50.0
Canada,2262,Engineering inspectors and regulatory officers,4.0,20.0,19.0,17.0,6.0,1.0,4.0,2.0
Canada,2263,Inspectors in public and environmental health and occupational health and safety,78.0,121.0,139.0,9.0,20.0,28.0,27.0,31.0
Canada,2264,Construction inspectors,6.0,14.0,15.0,6.0,1.0,3.0,9.0,16.0
Canada,2271,"Air pilots, flight engineers and flying instructors",65.0,44.0,69.0,80.0,40.0,41.0,85.0,90.0
Canada,2272,Air traffic controllers and related occupations,2.0,1.0,7.0,2.0,0.0,0.0,5.0,1.0
Canada,2273,"Deck officers, water transport",238.0,265.0,169.0,227.0,141.0,90.0,89.0,116.0
Canada,2274,"Engineer officers, water transport",229.0,204.0,95.0,151.0,101.0,80.0,71.0,86.0
Canada,2275,Railway traffic controllers and marine traffic regulators,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2281,Computer network technicians,67.0,47.0,41.0,74.0,85.0,124.0,269.0,278.0
Canada,2282,User support technicians,55.0,35.0,32.0,54.0,108.0,73.0,148.0,230.0
Canada,2283,Information systems testing technicians,23.0,35.0,26.0,58.0,42.0,50.0,77.0,100.0
Canada,3011,Nursing co-ordinators and supervisors,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
Canada,3012,Registered nurses and registered psychiatric nurses,81.0,36.0,65.0,372.0,338.0,377.0,509.0,612.0
Canada,3111,Specialist physicians,200.0,187.0,125.0,120.0,114.0,119.0,127.0,194.0
Canada,3112,General practitioners and family physicians,188.0,94.0,72.0,53.0,98.0,72.0,131.0,216.0
Canada,3113,Dentists,8.0,9.0,12.0,10.0,14.0,4.0,17.0,9.0
Canada,3114,Veterinarians,9.0,10.0,17.0,18.0,13.0,38.0,70.0,50.0
Canada,3121,Optometrists,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
Canada,3122,Chiropractors,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0
Canada,3124,Allied primary health practitioners,1.0,1.0,0.0,0.0,1.0,2.0,1.0,7.0
Canada,3125,Other professional occupations in health diagnosing and treating,7.0,3.0,1.0,1.0,2.0,5.0,9.0,7.0
Canada,3131,Pharmacists,22.0,4.0,2.0,1.0,3.0,2.0,4.0,16.0
Canada,3132,Dietitians and nutritionists,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
Canada,3141,Audiologists and speech-language pathologists,2.0,3.0,3.0,3.0,5.0,5.0,9.0,6.0
Canada,3142,Physiotherapists,11.0,4.0,5.0,4.0,8.0,24.0,54.0,46.0
Canada,3143,Occupational therapists,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Canada,3144,Other professional occupations in therapy and assessment,2.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0
Canada,3211,Medical laboratory technologists,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0
Canada,3212,Medical laboratory technicians and pathologists' assistants,0.0,0.0,0.0,0.0,1.0,1.0,4.0,14.0
Canada,3213,Animal health technologists and veterinary technicians,6.0,12.0,13.0,12.0,25.0,58.0,115.0,64.0
Canada,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",1.0,3.0,1.0,4.0,4.0,1.0,0.0,6.0
Canada,3215,Medical radiation technologists,11.0,1.0,0.0,0.0,2.0,1.0,6.0,21.0
Canada,3216,Medical sonographers,3.0,6.0,0.0,0.0,2.0,3.0,3.0,4.0
Canada,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
Canada,3219,Other medical technologists and technicians (except dental health),6.0,7.0,6.0,12.0,22.0,16.0,63.0,157.0
Canada,3221,Denturists,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0
Canada,3222,Dental hygienists and dental therapists,1.0,2.0,1.0,4.0,5.0,5.0,7.0,2.0
Canada,3223,"Dental technologists, technicians and laboratory assistants",33.0,42.0,44.0,44.0,35.0,35.0,61.0,59.0
Canada,3231,Opticians,2.0,11.0,3.0,13.0,8.0,11.0,20.0,24.0
Canada,3232,Practitioners of natural healing,10.0,26.0,23.0,25.0,20.0,14.0,24.0,26.0
Canada,3233,Licensed practical nurses,12.0,3.0,4.0,11.0,24.0,21.0,32.0,61.0
Canada,3234,Paramedical occupations,5.0,3.0,4.0,2.0,1.0,3.0,4.0,19.0
Canada,3236,Massage therapists,6.0,4.0,18.0,39.0,29.0,13.0,37.0,21.0
Canada,3237,Other technical occupations in therapy and assessment,9.0,5.0,5.0,11.0,19.0,16.0,31.0,48.0
Canada,3411,Dental assistants,1.0,2.0,1.0,4.0,1.0,1.0,16.0,32.0
Canada,3413,"Nurse aides, orderlies and patient service associates",24.0,23.0,16.0,159.0,438.0,526.0,1757.0,2514.0
Canada,3414,Other assisting occupations in support of health services,1.0,1.0,0.0,3.0,4.0,7.0,27.0,83.0
Canada,4011,University professors and lecturers,371.0,292.0,295.0,332.0,322.0,256.0,350.0,333.0
Canada,4012,Post-secondary teaching and research assistants,0.0,3.0,0.0,1.0,6.0,13.0,24.0,36.0
Canada,4021,College and other vocational instructors,92.0,58.0,48.0,32.0,28.0,25.0,49.0,54.0
Canada,4031,Secondary school teachers,3.0,4.0,2.0,3.0,16.0,14.0,19.0,25.0
Canada,4032,Elementary school and kindergarten teachers,11.0,10.0,5.0,11.0,125.0,67.0,70.0,67.0
Canada,4033,Educational counsellors,2.0,5.0,2.0,4.0,5.0,2.0,10.0,4.0
Canada,4111,Judges,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Canada,4112,Lawyers and Quebec notaries,1.0,3.0,2.0,4.0,2.0,2.0,2.0,7.0
Canada,4151,Psychologists,3.0,8.0,2.0,5.0,16.0,4.0,14.0,15.0
Canada,4152,Social workers,1.0,0.0,0.0,0.0,4.0,18.0,52.0,14.0
Canada,4153,"Family, marriage and other related counsellors",4.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0
Canada,4154,Professional occupations in religion,32.0,19.0,4.0,4.0,2.0,1.0,2.0,7.0
Canada,4155,Probation and parole officers and related occupations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,4156,Employment counsellors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Canada,4161,"Natural and applied science policy researchers, consultants and program officers",4.0,6.0,1.0,0.0,2.0,5.0,8.0,4.0
Canada,4162,Economists and economic policy researchers and analysts,9.0,9.0,7.0,8.0,9.0,7.0,8.0,13.0
Canada,4163,Business development officers and marketing researchers and consultants,44.0,40.0,26.0,38.0,50.0,71.0,138.0,171.0
Canada,4164,"Social policy researchers, consultants and program officers",2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0
Canada,4165,"Health policy researchers, consultants and program officers",7.0,5.0,3.0,3.0,4.0,12.0,9.0,9.0
Canada,4166,"Education policy researchers, consultants and program officers",4.0,3.0,2.0,1.0,4.0,6.0,11.0,17.0
Canada,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",4.0,8.0,10.0,1.0,2.0,0.0,5.0,7.0
Canada,4168,Program officers unique to government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,4169,"Other professional occupations in social science, n.e.c.",0.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0
Canada,4211,Paralegal and related occupations,5.0,4.0,4.0,6.0,3.0,4.0,6.0,16.0
Canada,4212,Social and community service workers,15.0,13.0,10.0,16.0,21.0,5.0,42.0,68.0
Canada,4214,Early childhood educators and assistants,126.0,208.0,221.0,437.0,482.0,412.0,834.0,1423.0
Canada,4215,Instructors of persons with disabilities,6.0,4.0,2.0,5.0,0.0,1.0,5.0,5.0
Canada,4216,Other instructors,11.0,11.0,8.0,10.0,6.0,4.0,11.0,20.0
Canada,4217,Other religious occupations,23.0,6.0,1.0,7.0,7.0,4.0,6.0,4.0
Canada,4311,Police officers (except commissioned),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Canada,4312,Firefighters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,4313,Non-commissioned ranks of the Canadian Forces,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Canada,4411,Home child care providers,4861.0,5335.0,6531.0,4901.0,2578.0,3493.0,2721.0,2400.0
Canada,4412,"Home support workers, housekeepers and related occupations",1226.0,1473.0,1926.0,1494.0,889.0,1176.0,1032.0,1311.0
Canada,4413,Elementary and secondary school teacher assistants,0.0,0.0,0.0,1.0,0.0,0.0,7.0,13.0
Canada,4421,Sheriffs and bailiffs,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Canada,4422,Correctional service officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,4423,"By-law enforcement and other regulatory officers, n.e.c.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,5111,Librarians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Canada,5112,Conservators and curators,3.0,6.0,1.0,3.0,2.0,1.0,3.0,0.0
Canada,5113,Archivists,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Canada,5121,Authors and writers,15.0,6.0,10.0,9.0,8.0,2.0,9.0,9.0
Canada,5122,Editors,8.0,6.0,1.0,5.0,3.0,5.0,15.0,7.0
Canada,5123,Journalists,3.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0
Canada,5125,"Translators, terminologists and interpreters",32.0,34.0,118.0,26.0,0.0,2.0,7.0,10.0
Canada,5131,"Producers, directors, choreographers and related occupations",604.0,388.0,381.0,382.0,188.0,258.0,420.0,310.0
Canada,5132,"Conductors, composers and arrangers",15.0,4.0,2.0,4.0,1.0,0.0,3.0,3.0
Canada,5133,Musicians and singers,48.0,32.0,23.0,14.0,3.0,4.0,13.0,10.0
Canada,5134,Dancers,32.0,28.0,22.0,18.0,5.0,7.0,10.0,8.0
Canada,5135,Actors and comedians,554.0,108.0,59.0,78.0,8.0,37.0,74.0,53.0
Canada,5136,"Painters, sculptors and other visual artists",15.0,4.0,4.0,12.0,7.0,3.0,16.0,23.0
Canada,5211,Library and public archive technicians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
